animal_id,name,sex,genotype,dob,
131,Claire-3,F,{ISL1-FLOX},6/24/2020,1
132,Claire-3,F,{ISL1-FLOX},7/10/2021,1
133,Claire-31,F,{ISL1-FLOX},6/24/2020,1
134,Claire-32,F,{ISL1-FLOX},11/11/2020,1
135,Claire-33,F,{ISL1-FLOX},2/5/2021,1
136,Claire-34,F,{ISL1-FLOX},2/5/2021,1
137,Claire-4,F,{ISL1-FLOX},6/21/2019,1
138,Claire-4,F,{ISL1-FLOX},7/23/2020,1
139,Claire-4,F,{ISL1-FLOX},7/10/2021,1
140,Claire-5,F,{ISL1-FLOX},1/3/2022,1
141,Claire-6,F,{ISL1-FLOX},1/3/2022,1
142,Claire-60,F,{ISL1-FLOX},4/25/2021,1
143,Claire-61,F,{ISL1-FLOX},4/25/2021,1
144,Claire-62,F,{ISL1-FLOX},6/18/2021,1
145,Claire-7,F,{ISL1-FLOX},6/29/2022,1
146,Claire-8,F,{ISL1-FLOX},6/29/2022,1
147,Daisy-1,F,{CDH1-GFP},11/1/2019,1
148,Daisy-1,F,{CDH1-GFP},6/12/2021,1
149,Daisy-1,F,{CDH1-GFP},4/10/2023,1
150,Daisy-2,F,{CDH1-GFP},11/1/2019,1
151,Daisy-2,F,{CDH1-GFP},6/12/2021,1
152,Daisy-2,F,{CDH1-GFP},4/10/2023,1
153,Daisy-3,F,{CDH1-GFP},5/17/2020,1
154,Daisy-3,F,{CDH1-GFP},10/22/2021,1
155,Daisy-30,F,{CDH1-GFP},2/20/2023,1
156,Daisy-31,F,{CDH1-GFP},2/20/2023,1
157,Daisy-4,F,{CDH1-GFP},5/17/2020,1
159,Daisy-4,F,{CDH1-GFP},10/22/2021,2
160,Daisy-5,F,{CDH1-GFP},11/7/2020,1
161,Daisy-5,F,{CDH1-GFP},5/5/2022,1
162,Daisy-6,F,{CDH1-GFP},11/7/2020,1
163,Daisy-6,F,{CDH1-GFP},5/5/2022,1
164,Daisy-7,F,{CDH1-GFP},1/15/2021,1
165,Daisy-7,F,{CDH1-GFP},11/5/2022,1
166,Daisy-8,F,{CDH1-GFP},11/5/2022,1
167,Elise-1,F,"{RX-CRE, NFIA-FLOX, CDH1-GFP}",12/12/2019,1
168,Elise-1,F,{NFIA-FLOX},9/8/2020,1
169,Elise-1,F,{NFIA-FLOX},12/26/2020,1
170,Elise-10,F,{CDH1-GFP},1/15/2021,1
171,Elise-11,F,"{RX-CRE, NFIA-FLOX}",12/23/2020,1
172,Elise-12,F,"{RX-CRE, NFIA-FLOX, CDH1-GFP}",3/29/2021,1
173,Elise-13,F,{NFIA-FLOX},3/26/2021,1
174,Elise-2,F,"{RX-CRE, NFIA-FLOX, CDH1-GFP}",12/12/2019,1
175,Elise-2,F,{NFIA-FLOX},12/26/2020,1
176,Elise-3,F,"{RX-CRE, NFIA-FLOX, CDH1-GFP}",4/10/2020,1
177,Elise-3,F,"{RX-CRE, NFIA-FLOX}",12/23/2020,1
178,Elise-4,F,"{RX-CRE, NFIA-FLOX, CDH1-GFP}",7/4/2020,1
179,Elise-4,F,"{RX-CRE, NFIA-FLOX}",12/23/2020,1
180,Elise-5,F,{NFIA-FLOX},9/8/2020,1
181,Elise-6,F,"{RX-CRE, NFIA-FLOX, CDH1-GFP}",4/12/2019,1
182,Elise-7,F,"{RX-CRE, NFIA-FLOX, CDH1-GFP}",5/9/2019,1
183,Elise-8,F,"{RX-CRE, NFIA-FLOX, CDH1-GFP}",8/18/2019,1
184,Elise-9,F,"{RX-CRE, NFIA-FLOX, CDH1-GFP}",11/21/2019,1
185,Eva-1,F,{RX-CRE},6/2/2019,1
186,Eva-1,F,{RX-CRE},7/14/2021,1
187,Eva-10,F,{RX-CRE},2/20/2023,1
188,Eva-11,F,{RX-CRE},5/17/2023,1
189,Eva-12,F,{RX-CRE},5/29/2023,1
190,Eva-2,F,{RX-CRE},7/14/2021,1
191,Eva-20,F,{RX-CRE},2/20/2023,1
192,Eva-21,F,{RX-CRE},2/20/2023,1
193,Eva-3,F,{RX-CRE},7/19/2019,1
194,Eva-3,F,{RX-CRE},8/12/2021,1
195,Eva-3,F,{RX-CRE},1/2/2022,1
196,Eva-4,F,{RX-CRE},12/16/2019,1
197,Eva-4,F,{RX-CRE},8/12/2021,1
198,Eva-4,F,{RX-CRE},1/2/2022,1
199,Eva-5,F,{RX-CRE},12/16/2019,1
200,Eva-5,F,{RX-CRE},4/27/2022,1
201,Eva-6,F,{RX-CRE},6/10/2020,1
202,Eva-6,F,{RX-CRE},7/13/2022,1
203,Eva-7,F,{RX-CRE},7/23/2020,1
204,Eva-7,F,{RX-CRE},7/13/2022,1
205,Eva-8,F,{RX-CRE},1/14/2021,1
206,Eva-8,F,{RX-CRE},11/27/2022,1
207,Eva-9,F,{RX-CRE},1/14/2021,1
208,Eva-9,F,{RX-CRE},11/27/2022,1
209,Frida-1,F,{CX3CR1-GFP},7/5/2019,1
210,Frida-1,F,{CX3CR1-GFP},3/30/2021,1
211,Frida-2,F,{CX3CR1-GFP},3/30/2021,1
212,Frida-4,F,{CX3CR1-GFP},4/17/2019,1
213,Frida-5,F,{CX3CR1-GFP},10/7/2019,1
214,Frida-6,F,{CX3CR1-GFP},10/7/2019,1
215,Frida-7,F,{CX3CR1-GFP},6/26/2020,1
216,Frida-8,F,{CX3CR1-GFP},6/26/2020,1
217,Jamie-1,F,{CHX10-CRE},3/16/2021,1
218,Jamie-1,F,{CHX10-CRE},12/22/2022,1
219,Jamie-2,F,{CHX10-CRE},3/16/2021,1
220,Jamie-2,F,{CHX10-CRE},12/22/2022,1
221,Jamie-3,F,{CHX10-CRE},9/17/2021,1
222,Jamie-3,F,{CHX10-CRE},6/22/2023,1
223,Jamie-31,F,{CHX10-CRE},6/9/2021,1
224,Jamie-4,F,{CHX10-CRE},9/17/2021,1
225,Jamie-4,F,{CHX10-CRE},6/22/2023,1
226,Jamie-5,F,{CHX10-CRE},3/11/2022,1
227,Jamie-6,F,{CHX10-CRE},3/11/2022,1
228,Jamie-7,F,{CHX10-CRE},9/16/2022,1
229,Jamie-8,F,{CHX10-CRE},9/16/2022,1
230,Jenny-1,F,"{DIXDC1-KO, CDH1-GFP}",8/26/2019,1
231,Jenny-1,F,"{DIXDC1-KO, CDH1-GFP}",8/23/2020,1
232,Jenny-2,F,"{DIXDC1-KO, CDH1-GFP}",9/30/2019,1
233,Jenny-2,F,"{DIXDC1-KO, CDH1-GFP}",8/23/2020,1
234,Jenny-3,F,"{DIXDC1-KO, CDH1-GFP}",2/4/2020,1
235,Jenny-4,F,"{DIXDC1-KO, CDH1-GFP}",2/4/2020,1
236,Juliette-1,F,{A/J},5/20/2021,1
237,Juliette-1,F,{A/J},9/4/2022,1
238,Juliette-2,F,{A/J},8/8/2019,1
239,Juliette-2,F,{A/J},5/20/2021,1
240,Juliette-2,F,{A/J},10/26/2022,1
241,Juliette-3,F,{A/J},8/8/2019,1
242,Juliette-3,F,{A/J},10/8/2020,1
243,Juliette-3,F,{A/J},7/6/2021,1
244,Juliette-3,F,{A/J},2/20/2023,1
245,Juliette-4,F,{A/J},9/23/2019,1
246,Juliette-4,F,{A/J},2/22/2021,1
247,Juliette-4,F,{A/J},10/8/2021,1
248,Juliette-5,F,{A/J},12/9/2021,1
249,Juliette-6,F,{A/J},1/25/2022,1
250,Juliette-7,F,{A/J},3/12/2022,1
251,Juliette-8,F,{A/J},6/4/2022,1
252,Juliette-9,F,{A/J},7/25/2022,1
253,Karen-1,F,{PROX1-CRE},2/24/2021,1
254,Karen-10,F,{PROX1-CRE},2/24/2021,1
255,Karen-10,F,{PROX1-CRE},4/19/2023,1
256,Karen-11,F,{PROX1-CRE},2/24/2021,1
257,Karen-11,F,{PROX1-CRE},4/19/2023,1
258,Karen-12,F,{PROX1-CRE},7/3/2021,1
259,Karen-13,F,{PROX1-CRE},11/13/2021,1
260,Karen-14,F,{PROX1-CRE},11/13/2021,1
261,Karen-15,F,{PROX1-CRE},12/27/2021,1
262,Karen-16,F,{PROX1-CRE},5/19/2022,1
263,Karen-17,F,{PROX1-CRE},5/19/2022,1
264,Karen-18,F,{PROX1-CRE},11/10/2022,1
265,Karen-19,F,{PROX1-CRE},11/10/2022,1
266,Karen-2,F,{PROX1-CRE},2/24/2021,1
267,Karen-71,F,{PROX1-CRE},11/10/2020,1
268,Kate-10,F,"{ISL1-FLOX, NEUROG2-FLOX}",1/6/2022,1
269,Kate-11,F,"{ISL1-FLOX, NEUROG2-FLOX}",2/9/2022,1
270,Kate-12,F,"{ISL1-FLOX, NEUROG2-FLOX}",5/18/2022,1
271,Kate-13,F,"{ISL1-FLOX, NEUROG2-FLOX}",7/10/2022,1
272,Kate-14,F,"{CHX10-CRE, ISL1-FLOX, NEUROG2-FLOX}",7/27/2022,1
273,Kate-3,F,"{ISL1-FLOX, NEUROG2-FLOX}",9/2/2021,1
274,Kate-4,F,"{ISL1-FLOX, NEUROG2-FLOX}",9/2/2021,1
275,Kate-5,F,"{ISL1-FLOX, NEUROG2-FLOX}",11/2/2021,1
276,Kate-6,F,"{ISL1-FLOX, NEUROG2-FLOX}",11/5/2021,1
277,Kate-7,F,"{ISL1-FLOX, NEUROG2-FLOX}",11/26/2021,1
278,Kim-2,F,"{CHAT-CRE, SOX2-FLOX, NPY-GFP}",8/18/2019,1
279,Lama-1,F,{CHAT-CRE},7/23/2021,1
280,Lama-2,F,{CHAT-CRE},7/23/2021,1
281,Lama-3,F,{CHAT-CRE},11/2/2021,1
282,Lama-4,F,{CHAT-CRE},11/2/2021,1
283,Lama-5,F,{CHAT-CRE},5/17/2022,1
284,Lama-6,F,{CHAT-CRE},6/8/2022,1
285,Lama-7,F,{CHAT-CRE},9/30/2022,1
286,Lama-8,F,{CHAT-CRE},9/30/2022,1
287,Lika-1,F,"{ISL1-FLOX, NEUROG2-FLOX}",8/2/2021,1
288,Lika-1,F,"{ISL1-FLOX, NEUROG2-FLOX}",11/19/2022,1
289,Lika-1,F,"{ISL1-FLOX, NEUROG2-FLOX}",6/28/2023,1
290,Lika-2,F,"{ISL1-FLOX, NEUROG2-FLOX}",8/2/2021,1
291,Lika-2,F,"{ISL1-FLOX, NEUROG2-FLOX}",11/19/2022,1
292,Lika-2,F,"{ISL1-FLOX, NEUROG2-FLOX}",6/28/2023,1
293,Lika-3,F,"{ISL1-FLOX, NEUROG2-FLOX}",11/5/2021,1
294,Lika-4,F,"{ISL1-FLOX, NEUROG2-FLOX}",11/26/2021,1
295,Lika-5,F,"{ISL1-FLOX, NEUROG2-FLOX}",5/19/2022,1
296,Lika-6,F,"{ISL1-FLOX, NEUROG2-FLOX}",5/19/2022,1
297,Lika-7,F,"{ISL1-FLOX, NEUROG2-FLOX}",11/19/2022,1
298,Lika-8,F,"{ISL1-FLOX, NEUROG2-FLOX}",11/19/2022,1
299,Linda-3,F,"{VGLUT3-CRE, BAX-KO, ROSA-RFP}",9/18/2019,1
300,Linda-4,F,"{VGLUT3-CRE, BAX-KO, ROSA-RFP}",12/1/2019,1
301,Linda-5,F,"{VGLUT3-CRE, BAX-KO, ROSA-RFP}",5/13/2020,1
302,Lizzy-1,F,{SOX5-FLOX},9/8/2023,1
303,Lizzy-2,F,{SOX5-FLOX},9/8/2023,1
304,Lizzy-3,F,"{RX-CRE, SOX5-FLOX}",8/17/2023,1
305,Lucy-1,F,{NFIA-FLOX},5/5/2021,1
306,Lucy-11,F,"{PROX1-CRE, NFIA-FLOX}",7/7/2021,1
307,Lucy-12,F,"{PROX1-CRE, NFIA-FLOX}",7/14/2021,1
308,Lucy-2,F,"{PROX1-CRE, NFIA-FLOX}",4/28/2021,1
309,Lucy-21,F,{NFIA-FLOX},7/27/2021,1
310,Lucy-22,F,{NFIA-FLOX},7/27/2021,1
311,Lucy-23,F,{NFIA-FLOX},7/27/2021,1
312,Lucy-24,F,{NFIA-FLOX},7/27/2021,1
313,Lucy-25,F,{NFIA-FLOX},7/17/2021,1
314,Lucy-26,F,{NFIA-FLOX},8/3/2021,1
315,Lucy-3,F,"{PROX1-CRE, NFIA-FLOX}",4/29/2021,1
316,Lucy-30,F,{NFIA-FLOX},9/9/2021,1
317,Lucy-31,F,{NFIA-FLOX},9/9/2021,1
318,Lucy-32,F,"{PROX1-CRE, NFIA-FLOX, CDH1-GFP}",2/23/2022,1
319,Lucy-33,F,"{PROX1-CRE, NFIA-FLOX, CDH1-GFP}",2/23/2022,1
320,Lucy-34,F,"{PROX1-CRE, NFIA-FLOX, CDH1-GFP}",7/26/2022,1
321,Lucy-35,F,"{PROX1-CRE, NFIA-FLOX, CDH1-GFP}",7/26/2022,1
322,Lucy-36,F,"{PROX1-CRE, NFIA-FLOX, CDH1-GFP}",11/10/2022,1
323,Lucy-37,F,"{PROX1-CRE, NFIA-FLOX, CDH1-GFP}",11/10/2022,1
324,Lucy-40,F,"{NFIA-FLOX, CDH1-GFP}",11/28/2021,1
325,Lucy-41,F,"{NFIA-FLOX, CDH1-GFP}",12/7/2021,1
326,Lucy-42,F,{NFIA-FLOX},12/7/2021,1
327,Lucy-43,F,"{NFIA-FLOX, CDH1-GFP}",2/23/2022,1
328,Lucy-44,F,"{NFIA-FLOX, CDH1-GFP}",3/18/2022,1
329,Martha-1,F,"{RBFOX1-FLOX, RBFOX2-FLOX}",8/13/2019,1
330,Martha-1,F,"{RX-CRE, RBFOX1-FLOX, RBFOX2-FLOX}",2/16/2021,1
331,Martha-1,F,"{RBFOX1-FLOX, RBFOX2-FLOX}",6/21/2021,1
332,Martha-1,F,"{RBFOX1-FLOX, RBFOX2-FLOX}",10/18/2021,1
333,Martha-10,F,"{RBFOX1-FLOX, RBFOX2-FLOX}",11/30/2019,1
334,Martha-10,F,"{RBFOX1-FLOX, RBFOX2-FLOX}",1/28/2022,1
335,Martha-11,F,"{RBFOX1-FLOX, RBFOX2-FLOX}",12/1/2019,1
336,Martha-11,F,"{RBFOX1-FLOX, RBFOX2-FLOX}",4/3/2022,1
337,Martha-12,F,"{RBFOX1-FLOX, RBFOX2-FLOX}",5/28/2020,1
338,Martha-12,F,"{CHX10-CRE, RBFOX1-FLOX, RBFOX2-FLOX}",6/20/2022,1
339,Martha-13,F,"{RBFOX1-FLOX, RBFOX2-FLOX}",6/22/2020,1
340,Martha-13,F,"{CHX10-CRE, RBFOX1-FLOX, RBFOX2-FLOX}",7/28/2022,1
341,Martha-14,F,"{RBFOX1-FLOX, RBFOX2-FLOX}",8/26/2020,1
342,Martha-14,F,"{RBFOX1-FLOX, RBFOX2-FLOX}",8/7/2022,1
343,Martha-15,F,"{CHX10-CRE, RBFOX1-FLOX, RBFOX2-FLOX}",8/28/2022,1
344,Martha-16,F,"{CHX10-CRE, RBFOX1-FLOX, RBFOX2-FLOX}",10/4/2022,1
345,Martha-16,F,"{CHX10-CRE, RBFOX2-FLOX}",2/21/2023,1
346,Martha-17,F,"{CHX10-CRE, RBFOX2-FLOX}",11/15/2022,1
347,Martha-18,F,"{CHX10-CRE, RBFOX2-FLOX}",2/21/2023,1
348,Martha-19,F,"{CHX10-CRE, RBFOX2-FLOX}",4/26/2023,1
349,Martha-2,F,"{RX-CRE, RBFOX1-FLOX, RBFOX2-FLOX}",3/13/2021,1
350,Martha-2,F,"{RBFOX1-FLOX, RBFOX2-FLOX}",12/6/2021,1
351,Martha-20,F,"{RBFOX1-FLOX, RBFOX2-FLOX}",10/12/2020,1
352,Martha-21,F,"{RBFOX1-FLOX, RBFOX2-FLOX}",10/19/2020,1
353,Martha-22,F,"{RBFOX1-FLOX, RBFOX2-FLOX}",1/22/2021,1
354,Martha-23,F,"{RBFOX1-FLOX, RBFOX2-FLOX}",1/22/2021,1
355,Martha-24,F,{B6/J},8/28/2021,1
356,Martha-25,F,{B6/J},8/28/2021,1
357,Martha-3,F,"{RBFOX1-FLOX, RBFOX2-FLOX}",8/13/2019,1
358,Martha-3,F,"{RX-CRE, RBFOX1-FLOX, RBFOX2-FLOX}",3/30/2021,1
359,Martha-3,F,"{RBFOX1-FLOX, RBFOX2-FLOX}",12/6/2021,1
360,Martha-30,F,"{RX-CRE, RBFOX1-FLOX, RBFOX2-FLOX}",10/28/2020,1
361,Martha-31,F,"{RX-CRE, RBFOX1-FLOX, RBFOX2-FLOX}",10/30/2020,1
362,Martha-4,F,{RBFOX2-FLOX},12/1/2019,1
363,Martha-4,F,"{RBFOX1-FLOX, RBFOX2-FLOX}",2/5/2020,1
364,Martha-40,F,"{RX-CRE, RBFOX1-FLOX, RBFOX2-FLOX}",11/22/2020,1
365,Martha-41,F,"{RX-CRE, RBFOX1-FLOX, RBFOX2-FLOX}",12/16/2020,1
366,Martha-5,F,"{RBFOX1-FLOX, RBFOX2-FLOX}",2/5/2020,1
367,Martha-6,F,"{RBFOX1-FLOX, RBFOX2-FLOX}",5/28/2020,1
368,MaryJane-1,F,{SOX5-FLOX},1/12/2019,1
369,MaryJane-1,F,{SOX5-FLOX},1/23/2020,1
370,MaryJane-1,F,{SOX5-FLOX},12/4/2020,1
371,MaryJane-1,F,{SOX5-FLOX},12/30/2021,1
372,MaryJane-1,F,{SOX5-FLOX},5/10/2023,1
373,MaryJane-2,F,{SOX5-FLOX},6/26/2019,1
374,MaryJane-2,F,{SOX5-FLOX},4/30/2020,1
375,MaryJane-2,F,{SOX5-FLOX},12/4/2020,1
376,MaryJane-2,F,{SOX5-FLOX},12/30/2021,1
377,MaryJane-2,F,{SOX5-FLOX},5/10/2023,1
378,MaryJane-20,F,{SOX5-FLOX},5/10/2023,1
379,MaryJane-21,F,{SOX5-FLOX},5/10/2023,1
380,MaryJane-3,F,{SOX5-FLOX},4/30/2020,1
381,MaryJane-3,F,{SOX5-FLOX},2/14/2021,1
382,MaryJane-3,F,{SOX5-FLOX},6/15/2022,1
383,MaryJane-4,F,{SOX5-FLOX},10/27/2020,1
384,MaryJane-4,F,{SOX5-FLOX},6/27/2022,1
385,MaryJane-5,F,{SOX5-FLOX},10/27/2020,1
386,MaryJane-5,F,{SOX5-FLOX},9/10/2022,1
387,MaryJane-6,F,{SOX5-FLOX},4/26/2021,1
388,MaryJane-6,F,{SOX5-FLOX},9/10/2022,1
389,MaryJane-7,F,{SOX5-FLOX},6/1/2021,1
390,MaryJane-8,F,{SOX5-FLOX},6/1/2021,1
391,Meghan-1,F,"{CHX10-CRE, NEUROG2-FLOX}",8/30/2021,1
392,Meghan-2,F,"{CHX10-CRE, NEUROG2-FLOX}",8/30/2021,1
393,Michelle-3,F,"{RX-CRE, RBFOX2-FLOX}",4/9/2019,1
394,Mila-1,F,"{CHX10-CRE, ISL1-FLOX}",9/10/2021,1
395,Mila-2,F,"{CHX10-CRE, ISL1-FLOX}",9/21/2021,1
396,Minnie-1,F,{VGLUT3-CRE},3/13/2021,1
397,Minnie-1,F,{VGLUT3-CRE},2/23/2023,1
398,Minnie-2,F,{VGLUT3-CRE},3/13/2021,1
399,Minnie-3,F,{VGLUT3-CRE},11/8/2021,1
400,Minnie-4,F,{VGLUT3-CRE},11/8/2021,1
401,Minnie-4,F,{VGLUT3-CRE},3/7/2022,1
402,Minnie-5,F,{VGLUT3-CRE},2/21/2022,1
403,Minnie-6,F,{VGLUT3-CRE},8/30/2022,1
404,Minnie-7,F,{VGLUT3-CRE},8/30/2022,1
405,Nikki-1,F,{NEUROG2-FLOX},5/15/2021,1
406,Nikki-1,F,{NEUROG2-FLOX},6/23/2023,1
407,Nikki-2,F,{NEUROG2-FLOX},5/15/2021,1
408,Nikki-2,F,{NEUROG2-FLOX},6/23/2023,1
409,Nikki-3,F,{NEUROG2-FLOX},9/21/2021,1
410,Nikki-3,F,{NEUROG2-FLOX},6/21/2023,1
411,Nikki-4,F,{NEUROG2-FLOX},10/12/2021,1
412,Nikki-41,F,{NEUROG2-FLOX},5/15/2021,1
413,Nikki-42,F,{NEUROG2-FLOX},5/15/2021,1
414,Nikki-5,F,{NEUROG2-FLOX},1/7/2022,1
415,Nikki-51,F,{NEUROG2-FLOX},5/15/2021,1
416,Nikki-52,F,{NEUROG2-FLOX},5/15/2021,1
417,Nikki-6,F,{NEUROG2-FLOX},4/20/2022,1
418,Nikki-7,F,{NEUROG2-FLOX},7/21/2022,1
419,Nikki-8,F,{NEUROG2-FLOX},7/14/2022,1
420,Ollie-1,F,{BAX-KO},6/19/2021,1
421,Ollie-10,F,{BAX-KO},2/16/2023,1
422,Ollie-11,F,{BAX-KO},9/11/2023,1
423,Ollie-12,F,{BAX-KO},9/11/2023,1
424,Ollie-2,F,{BAX-KO},8/25/2021,1
425,Ollie-3,F,{BAX-KO},11/16/2021,1
